"Date","Year","Quarter","FY","QFY","Month","NFIAXD_SA_XDC","NFIAXD_NSA_XDC","NFIAXD_R_SA_XDC","NFIAXD_R_NSA_XDC","IAFR_BP6_USD","IADD_BP6_USD","IADE_BP6_USD","IAD_BP6_USD","IADF_BP6_USD","IAOE_BP6_USD","IAO_BP6_USD","IAOD_BP6_USD","IAPD_BP6_USD","IAPE_BP6_USD","IAP_BP6_USD","IARFR_BP6_USD","BK_DB_BP6_USD","NINV_SA_XDC","NINV_NSA_XDC","NINV_R_SA_XDC","NINV_R_NSA_XDC","BXG_BP6_USD","BMG_BP6_USD","BG_BP6_USD","BGS_BP6_USD","BXS_BP6_USD","BMS_BP6_USD","BXIP_BP6_USD","BMIP_BP6_USD","BMIS_BP6_USD","FDSB_SA_XDC","AIP_IX","AIPMA_IX","AIPMA_PC_CP_A_PT","AIPMA_PC_PP_PT","AIP_PC_CP_A_PT","AIP_PC_PP_PT","BEF_BP6_USD","ENECUE_XDC_XEU_RATE","ENECUA_XDC_XEU_RATE","ENEE_XDC_EUR_RATE","ENEA_XDC_EUR_RATE","ENSE_XDC_XDR_RATE","ENSA_XDC_XDR_RATE","ENDE_XDC_USD_RATE","ENDA_XDC_USD_RATE","EECUNE_XEU_XDC_RATE","EECUNA_XEU_XDC_RATE","EENE_EUR_XDC_RATE","EENA_EUR_XDC_RATE","ENEER_IX","EREER_IX","ESNE_XDR_XDC_RATE","ESNA_XDR_XDC_RATE","EDNE_USD_XDC_RATE","EDNA_USD_XDC_RATE","NX_SA_XDC","NX_NSA_XDC","NX_R_SA_XDC","NX_R_NSA_XDC","NXG_SA_XDC","NXG_NSA_XDC","NXG_R_SA_XDC","NXG_R_NSA_XDC","NXS_SA_XDC","NXS_NSA_XDC","NXS_R_SA_XDC","NXS_R_NSA_XDC","NNXGS_SA_XDC","NNXGS_NSA_XDC","NNXGS_R_SA_XDC","NNXGS_R_NSA_XDC","TXG_D_FOB_IX","TXG_D_FOB_PC_CP_A_PT","TXG_D_FOB_PC_PP_PT","TMG_D_CIF_IX","TMG_D_CIF_PC_CP_A_PT","TMG_D_CIF_PC_PP_PT","TXG_FOB_XDC","TXG_FOB_PC_CP_A_PT","TXG_FOB_PC_PP_PT","TXG_FOB_USD","TMG_CIF_XDC","TMG_CIF_PC_CP_A_PT","TMG_CIF_PC_PP_PT","TMG_CIF_USD","NC_SA_XDC","NC_NSA_XDC","NC_R_SA_XDC","NC_R_NSA_XDC","BFFA_BP6_USD","BFFL_BP6_USD","BFF_BP6_USD","BFDAD_BP6_USD","BFDAE_BP6_USD","BFDA_BP6_USD","BFOA_BP6_USD","BFOAD_BP6_USD","BFOAE_BP6_USD","BFPAD_BP6_USD","BFPAE_BP6_USD","BFPA_BP6_USD","FIDR_PA","FID_PA","FIGB_PA","FITB_PA","FILR_PA","FISR_PA","BCG_GADANP_T_G01_CA_XDC","BCG_GADAFD_T_G01_XDC","BCG_GADAFFD_T_G01_CA_XDC","BCG_GADAFF_T_G01_XDC","BCG_GADAFIR_T_G01_CA_XDC","BCG_GADAFLS_T_G01_CA_XDC","BCG_GADAFM_T_G01_CA_XDC","BCG_GADAFSO_T_G01_CA_XDC","BCG_GADAFAE_T_G01_CA_XDC","BCG_GADL_T_G01_CA_XDC","BCG_GADL_T_G01_XDC","BCG_GADLCD_T_G01_CA_XDC","BCG_GADLD_T_G01_CA_XDC","BCG_GADLD_T_G01_XDC","BCG_GADLFD_T_G01_CA_XDC","BCG_GADLF_T_G01_CA_XDC","BCG_GADLF_T_G01_XDC","BCG_GADLIR_T_G01_CA_XDC","BCG_GADLLS_T_G01_CA_XDC","BCG_GADLSO_T_G01_CA_XDC","BCG_GADLAE_T_G01_CA_XDC","BCG_GADAN_T_G01_CA_XDC","BCG_GADAN_T_G01_XDC","BCG_GADANKC_T_G01_XDC","BCG_GADANS_T_G01_CA_XDC","BCG_GR_G01_CA_XDC","BCG_GXCCB_G01_CA_XDC","BCG_GE_G01_CA_XDC","BCG_GE_G01_XDC","BCG_GECE_G01_CA_XDC","BCG_GECE_G01_XDC","BCG_GEKC_G01_XDC","BCG_GEG_G01_CA_XDC","BCG_GEG_G01_XDC","BCG_GEI_G01_CA_XDC","BCG_GEI_G01_XDC","BCG_GEO_G01_CA_XDC","BCG_GEO_G01_XDC","BCG_GES_G01_CA_XDC","BCG_GES_G01_XDC","BCG_GEST_G01_CA_XDC","BCG_GEST_G01_XDC","BCG_GEGS_G01_CA_XDC","BCG_GEGS_G01_XDC","BCG_GXCBG_G01_XDC","BCG_GX_G01_CA_XDC","BCG_GX_G01_XDC","BCG_GADAFX_T_G01_CA_XDC","BCG_GADAFX_T_G01_XDC","BCG_GADAFXD_T_G01_CA_XDC","BCG_GXCCF_G01_CA_XDC","BCG_GXCCO_G01_CA_XDC","BCG_GXCNC_G01_CA_XDC","BCG_GXOB_G01_XDC","BCG_GXCNLA_G01_XDC","BCG_GXCBN_G01_XDC","BCG_GXCOP_G01_CA_XDC","BCG_GXOBP_G01_XDC","BCG_GR_G01_XDC","BCG_GRG_G01_CA_XDC","BCG_GRG_G01_XDC","BCG_GRO_G01_CA_XDC","BCG_GRO_G01_XDC","BCG_GRS_G01_CA_XDC","BCG_GRS_G01_XDC","BCG_GRT_G01_CA_XDC","BCG_GRT_G01_XDC","BCG_GRTGS_G01_CA_XDC","BCG_GRTGS_G01_XDC","BCG_GRTI_G01_CA_XDC","BCG_GRTI_G01_XDC","BCG_GRTO_G01_CA_XDC","BCG_GRTO_G01_XDC","BCG_GRTPAY_G01_CA_XDC","BCG_GRTP_G01_CA_XDC","BCG_GRTT_G01_CA_XDC","BCG_GRTT_G01_XDC","BCG_GXCCBA_G01_CA_XDC","BCG_GADLSDR_T_G01_CA_XDC","HPHCPQ_PA","HPHC_XDR","HPHC_USD","HLTF_XDR","HLTF_USD","HNCA_XDR","HNCA_USD","HPG_XDR","HPG_USD","HPL_XDR","HPL_USD","HOO_XDR","HOO_USD","HPQ_XDR","HPQ_USD","HPHSPA_PA","HSA_XDR","HSA_USD","HPUPQ_PA","HPU_XDR","HPU_USD","HPURTP_XDR","HPURTP_USD","NCGGC_SA_XDC","NCGGC_NSA_XDC","NCGGC_R_SA_XDC","NCGGC_R_NSA_XDC","NCGGI_SA_XDC","NCGGI_NSA_XDC","NCGGI_R_SA_XDC","NCGGI_R_NSA_XDC","NCGG_SA_XDC","NCGG_NSA_XDC","NCGG_R_SA_XDC","NCGG_R_NSA_XDC","NI_SA_XDC","NI_NSA_XDC","NI_R_SA_XDC","NI_R_NSA_XDC","NGDP_SA_XDC","NGDP_NSA_XDC","NGDP_R_SA_XDC","NGDP_R_NSA_XDC","NFID_SA_XDC","NFID_NSA_XDC","NFID_R_SA_XDC","NFID_R_NSA_XDC","NFIOT_SA_XDC","NFIOT_NSA_XDC","NFIOT_R_SA_XDC","NFIOT_R_NSA_XDC","NFI_SA_XDC","NFI_NSA_XDC","NFIOS_SA_XDC","NFIOS_NSA_XDC","NFIOS_R_SA_XDC","NFIOS_R_NSA_XDC","NFI_R_SA_XDC","NFI_R_NSA_XDC","NCPHI_SA_XDC","NCPHI_NSA_XDC","NCPHI_R_SA_XDC","NCPHI_R_NSA_XDC","NM_SA_XDC","NM_NSA_XDC","NM_R_SA_XDC","NM_R_NSA_XDC","NMG_SA_XDC","NMG_NSA_XDC","NMG_R_SA_XDC","NMG_R_NSA_XDC","NMS_SA_XDC","NMS_NSA_XDC","NMS_R_SA_XDC","NMS_R_NSA_XDC","RAFAGOLDNV_XDR","RAFAGOLDNV_USD","RAXGFX_XDR","RAXGFX_USD","RAXG_XDR","RAXG_USD","RAFAGOLD_XDR","RAFAGOLD_USD","RAFAGOLDV_OZT","RAFAGOLDM_XDR","RAFAGOLDM_USD","RAFAIMF_XDR","RAFAIMF_USD","RAFA_MV_XDR","RAFA_XDR","RAFASDR_XDR","RAFASDR_USD","RAFA_USD","ILFR_BP6_USD","ILDD_BP6_USD","ILDE_BP6_USD","ILD_BP6_USD","ILF_BP6_USD","ILODFR_BP6_USD","ILOE_BP6_USD","ILOFR_BP6_USD","ILPD_BP6_USD","ILPE_BP6_USD","ILP_BP6_USD","27A__XDC","26D__XDC","22A__XDC","20N__XDC","20C__XDC","22G__XDC","22D__XDC","22C__XDC","22B__XDC","26G__XDC","24__XDC","26B__XDC","21__XDC","26C__XDC","26J__XDC","27R__XDC","20__XDC","25__XDC","FMA_XDC","FMBCC_XDC","FMBDN_XDC","FMB_XDC","FMBSC_XDC","FASAD_XDC","FASAOF_XDC","FASAOP_XDC","FASAON_XDC","FASAOS_XDC","FASAO_XDC","FASDSD_XDC","FASDSB_XDC","FASDS_XDC","FASDSO_XDC","FASDSS_XDC","FASFD_XDC","FASL_XDC","FASMBC_XDC","FASMB_XDC","FASMBLD_XDC","FASMBLO_XDC","FASAG_XDC","FASG_XDC","FASLG_XDC","FASAF_XDC","FASAFOIL_USD","FASF_XDC","FASLF_XDC","FASLFOIL_USD","FASO_XDC","FASLD_XDC","FASE_XDC","FAA_XDC","26AA_XDC","FDSB_XDC","FDSBC_XDC","FDSBO_XDC","FDSBS_XDC","FDSBT_XDC","FDSDX_XDC","FDSAD_XDC","FDSAO_XDC","FDSAOF_XDC","FDSAOP_XDC","FDSAON_XDC","FDSAOG_XDC","FDSDG_XDC","FDSADG_XDC","FDSLDG_XDC","FDSFD_XDC","FDSI_XDC","FDSL_XDC","FDSF_XDC","FDSAF_XDC","FDSLF_XDC","FDSO_XDC","FDSSX_XDC","FDSE_XDC","FFCC_XDC","FFCD_XDC","FFCAD_XDC","FFCAO_XDC","FFCAOP_XDC","FFCAON_XDC","FFCAOG_XDC","FFCDG_XDC","FFCADG_XDC","FFCLDG_XDC","FFCFD_XDC","FFCI_XDC","FFCL_XDC","FFCF_XDC","FFCAF_XDC","FFCLF_XDC","FFCO_XDC","FFCS_XDC","FFCE_XDC","17A__XDC","16D__XDC","12A__XDC","12E__XDC","12G__XDC","12D__XDC","12C__XDC","12B__XDC","11__XDC","16C__XDC","16J__XDC","17RV_XDC","17R__XDC","14N__XDC","14__XDC","14A__XDC","16B__XDC","16AC_XDC","15__XDC","37A__XDC","32AN_XDC","32G__XDC","32C__XDC","32D__XDC","32B__XDC","32__XDC","31N__XDC","36J__XDC","34__XDC","34__SA_XDC","35L__XDC","37R__XDC","35__XDC","35L__PC_CP_A_PT","36B__XDC","36AA_XDC","36AC_XDC","FOSAAC_XDC","FOSAA_XDC","FOSAAO_XDC","FOSAAR_XDC","FOSAOF_XDC","FOSAOP_XDC","FOSAON_XDC","FOSAOG_XDC","FOSAO_XDC","FOSDX_XDC","FOSFD_XDC","FOSI_XDC","FOSLA_XDC","FOSL_XDC","FOSAG_XDC","FOSG_XDC","FOSLG_XDC","FOSAF_XDC","FOSF_XDC","FOSLF_XDC","FOSD_XDC","FOSO_XDC","FOSSX_XDC","FOSS_XDC","FOSE_XDC","FOST_XDC","FODA_XDC","FFSAD_XDC","FFSAP_XDC","FFSAON_XDC","FFSAOG_XDC","FFSAO_XDC","FFSD_XDC","FFSFD_XDC","FFSI_XDC","FFSL_XDC","FFSAG_XDC","FFSG_XDC","FFSLG_XDC","FFSAF_XDC","FFSF_XDC","FFSLF_XDC","FFSO_XDC","FFSS_XDC","FFSE_XDC","FOFA_XDC","NCPHN_SA_XDC","NCPHN_NSA_XDC","NCPHN_R_SA_XDC","NCPHN_R_NSA_XDC","PCPI_IX","PCPI_PC_CP_A_PT","PCPI_PC_PP_PT","NCP_SA_XDC","NCP_NSA_XDC","NCP_R_SA_XDC","NCP_R_NSA_XDC","NINVP_SA_XDC","NINVP_NSA_XDC","NINVP_R_SA_XDC","NINVP_R_NSA_XDC","NSDGDP_SA_XDC","NSDGDP_NSA_XDC","NSDGDP_R_SA_XDC","NSDGDP_R_NSA_XDC","BTGSI_BP6_USD","BKAA_BP6_USD","BKAA_CD_BP6_USD","BCAXF_BP6_USD","BTCKFA_BP6_USD","BFDLXF_BP6_USD","BFDLEXF_BP6_USD","BFDLDXF_BP6_USD","BOPFR_BP6_USD","BFXF_BP6_USD","BIMF_CD_BP6_USD","BFOLDXF_BP6_USD","BFOLXF_BP6_USD","BFOLEXF_BP6_USD","BFPLXF_BP6_USD","BFPLDXF_BP6_USD","BFPLEXF_BP6_USD","BFRAFR_BP6_USD","BTRUE_BP6_USD","BXISXF_BP6_USD","BTCC_BP6_USD","RAFA_G_XDR","RAFA_G_USD","RAFA_MV_USD"
1962-07-01,1962,"Q3","1962/63","Q1","July",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-10-01,1962,"Q4","1962/63","Q2","October",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,1963,"Q1","1962/63","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-04-01,1963,"Q2","1962/63","Q4","April",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-07-01,1963,"Q3","1963/64","Q1","July",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-10-01,1963,"Q4","1963/64","Q2","October",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-01-01,1964,"Q1","1963/64","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,1,1.12,,0,,3.98,0,0,0,1.98,,-0.66,,,0.44,0.34,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,0,,,,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-04-01,1964,"Q2","1963/64","Q4","April",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,0,0,0,0,0,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.25,,,0,0,,,,,,,,,,,,,,1.02,1.04,,0,,4,0,0,0,1.88,,-0.3,,,0.34,0.26,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-07-01,1964,"Q3","1964/65","Q1","July",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,0,0,0,0,0,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.25,,,0,0,,,,,,,,,,,,,,1.78,1.58,,0,,4.2,0,0,0,1.92,,-0.2,,,0.24,0.22,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,0,,,,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-10-01,1964,"Q4","1964/65","Q2","October",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,0,0,0,0,0,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.25,,,0,0,,,,,,,,,,,,,,1.66,2.15,,0,,4.3,0,0,0,2.08,,0.24,,,1.58,0.45,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,0,,,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,1965,"Q1","1964/65","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,0,0,0,0,0,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.25,,,0,0,,,,,,,,,,,,,0,1.27,1.7,,0,,5.99,0,0,0,2.46,,1.82,4.22,,-0.25,0.3,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,0,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-04-01,1965,"Q2","1964/65","Q4","April",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143,0.07143000007143,0.07143,0.07143000007143,,,,,,,13.9997200055999,13.9997199916002,13.9997200055999,13.9997199916002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,0,0,0,0,0,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.25,,,0,0,,,,,,,,,,,,,0,2.31,2.49,,0,,4.86,0,0,0,2.51,,1.54,2.34,,-0.19,0.24,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86,0,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
