"Date","Year","Quarter","FY","QFY","Month","EXP_NWR_AGRO","EXP_NWR_MID","EXP_NWR_SPD","EXP_NWR_MAN","EXP_NWR_TOD","EXP_NWR_NECLW","EXP_NWR_PSD","EXP_NWR_SED","EXP_NWR_ITIS","EXP_NWR_SUD","EXP_NWR_DIT","EXP_NWR_HCD","EXP_NWR_TTD","EXP_NWR_PST","EXP_NWR_CMC","EXP_NWR_GOS","EXP_NWR_DPI","EXP_NWR_RBD","EXP_NWR_ADJ","EXP_NWR_LEG","EXP_NWR_LGOV","EXP_NWR_I","EXP_NWR_I_DOM","EXP_NWR_I_EXT","EXP_NWR_CEN_TOT","EXP_NWR_LGP_TOT","EXP_NWR_I_TOT","EXP_NWR"
1997-07-01,1997,"Q3","1997/98","Q1","July",,,,,,,,,,,,,,,,,,,,,,3.99932,1.36078,2.63854,13.6972775835,6.7434224165,3.99932,24.44002
1997-08-01,1997,"Q3","1997/98","Q1","August",,,,,,,,,,,,,,,,,,,,,,7.43515,1.12247,6.31268,30.3852375835,3.9907224165,7.43515,41.81111
1997-09-01,1997,"Q3","1997/98","Q1","September",,,,,,,,,,,,,,,,,,,,,,8.66558,2.92953,5.73605,24.8934375835,7.1396124165,8.66558,40.69863
1997-10-01,1997,"Q4","1997/98","Q2","October",,,,,,,,,,,,,,,,,,,,,,8.39196,5.82332,2.56864,26.6270975835,3.9146324165,8.39196,38.93369
1997-11-01,1997,"Q4","1997/98","Q2","November",,,,,,,,,,,,,,,,,,,,,,2.96428,0.86976,2.09452,29.3504575835,9.0664524165,2.96428,41.38119
1997-12-01,1997,"Q4","1997/98","Q2","December",,,,,,,,,,,,,,,,,,,,,,5.69968,2.99241,2.70727,27.3376475835,4.1344524165,5.69968,37.17178
1998-01-01,1998,"Q1","1997/98","Q3","January",,,,,,,,,,,,,,,,,,,,,,3.43143,0.93851,2.49292,18.4411175835,8.0599224165,3.43143,29.93247
1998-02-01,1998,"Q1","1997/98","Q3","February",,,,,,,,,,,,,,,,,,,,,,4.95927,1.01952,3.93975,23.9258675835,4.1378924165,4.95927,33.02303
1998-03-01,1998,"Q1","1997/98","Q3","March",,,,,,,,,,,,,,,,,,,,,,7.756,2.71541,5.04059,26.9531675835,2.1907224165,7.756,36.89989
1998-04-01,1998,"Q2","1997/98","Q4","April",,,,,,,,,,,,,,,,,,,,,,8.47066,5.85426,2.6164,32.0689475835,7.7291824165,8.47066,48.26879
1998-05-01,1998,"Q2","1997/98","Q4","May",,,,,,,,,,,,,,,,,,,,,,3.55925,1.35872,2.20053,26.2517575835,7.2942024165,3.55925,37.10521
1998-06-01,1998,"Q2","1997/98","Q4","June",,,,,,,,,,,,,,,,,,,,,,5.00996,2.76866,2.2413,43.3621375835,9.7987824165,5.00996,58.17088
1998-07-01,1998,"Q3","1998/99","Q1","July",,,,,,,,,,,,,,,,,,,,,,4.983868708,1.64191,3.341958708,11.048103,5.154,4.983868708,21.185971708
1998-08-01,1998,"Q3","1998/99","Q1","August",,,,,,,,,,,,,,,,,,,,,,6.328263916,1.557334,4.770929916,29.980696,8.39153,6.328263916,44.700489916
1998-09-01,1998,"Q3","1998/99","Q1","September",,,,,,,,,,,,,,,,,,,,,,8.09266716,2.697624,5.39504316,26.330334,9.083,8.09266716,43.50600116
1998-10-01,1998,"Q4","1998/99","Q2","October",,,,,,,,,,,,,,,,,,,,,,5.21546968,1.178278,4.03719168,22.8309546666667,7.648,5.21546968,35.6944243466667
1998-11-01,1998,"Q4","1998/99","Q2","November",,,,,,,,,,,,,,,,,,,,,,3.3123894,1.119201,2.1931884,44.0452246666667,8.916,3.3123894,56.2736140666667
1998-12-01,1998,"Q4","1998/99","Q2","December",,,,,,,,,,,,,,,,,,,,,,5.9004748,2.702524,3.1979508,32.8417216666667,11.131,5.9004748,49.8731964666667
1999-01-01,1999,"Q1","1998/99","Q3","January",,,,,,,,,,,,,,,,,,,,,,3.84756044,1.218683,2.62887744,24.167723,7.081,3.84756044,35.09628344
1999-02-01,1999,"Q1","1998/99","Q3","February",,,,,,,,,,,,,,,,,,,,,,8.019734,1.133004,6.88673,24.811011,11.325,8.019734,44.155745
1999-03-01,1999,"Q1","1998/99","Q3","March",,,,,,,,,,,,,,,,,,,,,,8.73460514,2.574636,6.15996914,24.606782,13.95,8.73460514,47.29138714
